link,job,company,salary,area,experience,education,companytype,direction,describe
https://jobs.51job.com/hangzhou/118733056.html?s=01&t=0,资深数据挖掘工程师(NLP方向) (职位编号：J194036),网易集团,3-4.5千/月,杭州,3-4年经验,本科,上市公司,互联网/电子商务,"['\r\n        Responsibility', '1. 负责文本数据的挖掘分析，包括信息的分类整理、信息抽取以及文本生成等技术的研发及优化；', '2. 负责NLP基础算法研究工作，包括文本分类、主题／关键词／标签抽取、语义标注、知识图谱、基础知识库整理等；', '3. 解决海量数据离线及实时处理中遇到的难题，保证系统的鲁棒性、高可用性。', 'Requirements', '1. 重点学校硕士及以上学历毕业，3年以上工作经验，有大型互联网公司从业经验优先；', '2. 具备良好的编程能力和代码风格，熟练掌握Java、Python、Scala等一门强类型语言，并至少掌握一门脚本语言；', '3. 具有统计或数据挖掘背景，并对NLP/文本挖掘算法和理论有较深入的研究者优先； ', '4. 具有良好的分析问题和解决问题的能力，对解决具有挑战性问题充满激情，有较强的学习能力，并且能够快速实现数学模型；', '5. 熟悉Hadoop/Spark分布式大数据处理系统者优先。\r\n                ', '\r\n                                        ', '职能类别：', '软件工程师', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/urumqi/118429603.html?s=01&t=0,大数据挖掘建模工程师,普联软件股份有限公司新疆分公司,0.8-1万/月,乌鲁木齐,无工作经验,招2人,上市公司,计算机软件,"['\r\n        ', '二、岗位职责', '根据项目需求，在业务人员提供业务逻辑及原理配合的情况下，负责数据采集、加工、处理、分析工作，能独立完成概念模型、逻辑模型设计，主要包括指标健康异常分析模型、监控预警模型以及效果预测模型等；可兼顾部分的Java开发。', '三、岗位要求', '1、大学本科，数学或计算机相关专业，2年以上工作经验者优先；', '2、熟练掌握一种或几种常用数据算法技能（如：决策树、聚类、逻辑回归、神经网络、关联分析等），有良好的建模与实施能力；', '3、熟练使用BMATLA/python/R等其中一种以上软件进行数据建模分析，***能熟练使用SPSS/SAS等数据分析软件；', '4、了解Java开发语言，oracle数据库者优先；', '5、具备大数据平台数据开发经验优先。', '四、发展空间', '普联软件业务涵盖全国各大油田，在财务管理基础上，致力于开拓油田业财融合的管理会计和生产运行相关业务领域，目前公司致力于经济评价、财务平台构建、智能油田建设、数据中心构建、大数据分析等领域。油田在探索投资成本一体化、效益配产等业财融合新模式，未来新领域发展空间巨大，希望有能力、有抱负的人士与公司一起抓住这个机遇。', '                                        ', '公司提供前沿知识、技术的学习、培训机会，提供能力展示平台，注重个人发展，打造业务专家型、技术专家型、咨询专家型人才。', '\r\n                ', '\r\n                                        ', '职能类别：', '高级软件工程师', '大数据开发/分析', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/111967643.html?s=01&t=0,高级算法-数据挖掘工程师,上海商涌网络科技有限公司,2.5-5万/月,上海-浦东新区,3-4年经验,本科,民营公司,互联网/电子商务,"['\r\n        ', '1，深度理解各类数据，并以此进行建模以及从数据维度对产品提出建议;', '2，实时跟踪和评估相关的算法进展和发展趋势;', '3，负责算法模型从调研、实现、算法部署上线的全流程工作;', '4，负责算法模型平台的架构与搭建工作.', '任职要求：', '1.\xa0计算机\\数学\\物理\\统计等相关专业硕士以上学历', '2.\xa0熟悉并且了解各类机器学习算法及数据挖掘基本算法，及其底层原理，优缺点与适用场景', '3.\xa0熟悉分布式环境下的在线/离线模型训练与部署', '4.\xa0对机器学习有自己的理解，知道机器学习这种工具的用途与适用范围，对于超出机器学习适用范围的场景，能提出自己独到解决方法', '3.\xa0对什么是数据，有自己的深刻理解', '4.\xa0能供使用\xa0C/C++/Python\xa0独立实现复杂的数据结构和算法原型', '5.\xa0熟练使用SQL/NoSQL数据库', '6.\xa0熟悉网络传输的基本协议', '7.\xa0能熟练运用各种常见机器学习框架，并能对源代码在特定场景下进行优化', '加分项：', '1.\xa0有高质量原创技术博客/github高星项目', '2.\xa0在ACM/Kaggle(独立完成)中获得过靠前名词', '3.\xa0对人性/数据/世界有敏锐洞察力', '4.\xa0有过医疗/健康方面研究工作经历，有医学背景', '5.\xa0对保险行业有深入了解', '\r\n                ', '\r\n                                        ', '职能类别：', '算法工程师', '\r\n                                        ', '关键字：', '数据挖掘', '机器学习', '高级算法', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-cnq/97274508.html?s=01&t=0,数据挖掘经理（金融科技）,交银企业管理服务（上海）有限公司张江高科技园区分公司,20-40万/年,上海-长宁区,5-7年经验,本科,国企,银行,"['\r\n        ', '主要职责：', '1.      评估业务部门数据需求，撰写技术文档并完成相关数据提取；', '2.      与业务建立良好沟通机制，为业务提供数据分析服务，与业务部门合作开展业务专题分析；', '3.      撰写数据分析报告，为业务发展提供决策支持；', '4.      参与数据挖掘模型的构建、维护、部署和评估；', '5.      协助数据平台开发人员开展数据仓库和数据统计分析项目的建设；', '6.      协助其他同事，做好新员工的带教。', '岗位要求：', '1.      本科及以上学历，金融、计算机、数学、统计等相关专业，5年以上工作经验；', '2.      逻辑清晰，自学能力强；有良好的数据统计和数据挖掘专业知识，具备利用数据分析解决业务问题的能力；', '3.      熟练使用SQL或SAS；', '4.      具有较强的责任心，执行力，能承受较大工作压力，愿意接受工作挑战；', '5.      有良好的沟通技巧和质量意识，具有较强的组织能力和团队合作精神；', '6.      有APP数据埋点或者页面流转数据分析经验者优先；', '7.      有商业建模经验、BI应用项目经验、hadoop分布式计算平台使用经验者优先；', '8.      具有金融、互联网行业背景者优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '数据库工程师/管理员', '系统工程师', '\r\n                                        ', '关键字：', 'SQL', 'SAS', '数据挖掘', '建模', 'BI', '数据分析', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-jaq/62586375.html?s=01&t=0,数据挖掘算法工程师,上海杰之能软件科技有限公司,1.5-2.2万/月,上海-静安区,1年经验,博士,民营公司,计算机软件,"['\r\n        ', '岗位职责：', '1 了解民航和动车领域内的车载（机载）数据、运营数据、维修数据及其业务背景；', '2 高价值设备性能监控的算法研发及实施，包括设备性能建模和模型优化；', '3 挖掘设备维修数据中的业务知识，辅助设备故障诊断和故障隔离；', '4 优化设备运营过程中的生产计划，达到客户优化目标；', '5 跟踪业内机器学习算法动态并将之应用到性能监控和故障处置领域行算法等经验。', '任职要求：', '1 数学或物理、计算机及相关专业硕士以上学历，3-5年以上相关工作经验；', '2了解主流机器学习算法原理，并能使用R（python）语言实现，熟悉各种工具包；', '3 有较强计算机编程功底，熟练使用SQL；  ', '4 有快速学习和查阅资料及了解客户业务需求的能力；', '5 有NLP或专家系统经验优先；', '6 运筹优化方向优先；', '7 熟悉hadoop及spark相关技术，如RHIVE，sparkR，pyspark优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '算法工程师', '\r\n                                        ', '关键字：', '数据库', '数据挖掘', 'Hadoop', '数据分析', '机器算法', '周末双休', '带薪年假', '节日福利', '提供班车', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/xian-ytq/118315965.html?s=01&t=0,数据挖掘工程师,陕西星点网络科技有限公司,3-4.5千/月,西安-雁塔区,无工作经验,大专,民营公司,互联网/电子商务,"['\r\n        ', '岗位职责：', '1. 对海量业务数据进行整合、分析挖掘，挖掘用户行为特征，为安全、运营及决策提供业务分析及数据支持；', '2. 分析业务问题，使用数据挖掘各类算法构建相关的业务模型；', '3. 对建立的分析挖掘模型和算法进行软件实现；', ' 任职要求：', '1. 计算机、数学、统计、数据挖掘等相关专业专科及以上学历；', '2. 3年以上互联网、IT相关工作背景及数据分析挖掘相关工作经验；', '3. 熟悉统计原理及检验方法、熟悉数据分析方法；', '4. 熟悉分类、回归、聚类、降维等机器学习算法及应用场景；', '5. 熟悉Linux、Shell、R/Python，Hadoop/Spark/storm等，能独立完成相关的数据分析及分析报告相关工作；', '6. 有互联网推荐领域相关工作经验更优。', '福利待遇:', '1、一旦录用，入职提供免费体检；', '2、入职即购买五险一金；', '3、年终双薪；', '4、上班时间：9：30-12：00，13：30-17：30，周末双休、国家法定节假日正常休假；', '5、包吃或者餐补二选一，住房补贴；', '6、节日福利、生日福利。', '试用期1个月、期待您的加入！！', '\r\n                ', '\r\n                                        ', '职能类别：', '互联网软件开发工程师', '\r\n                                        ', '关键字：', '数据挖掘', '工程师', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-ftq/117373700.html?s=01&t=0,AI或数据挖掘工程师（校招岗位）,卓望信息技术（北京）有限公司,1-1.5万/月,北京-丰台区,无工作经验,招4人,外资（非欧美）,互联网/电子商务,"['\r\n        ', '1、根据数据特点选择合适的算法模型；', '2、使用tensorflow、sklearn等工具实现算法；', '3、对算法程序代码进行优化', '任职要求：', '1、统招本科及以上学历的应届毕业生，计算科学、应用数学、数理统计或相关专业；', '2、熟悉基础的数据挖掘和机器学习算法，包括但不限于逻辑回归、决策树、马尔科夫链等；', '3、具有良好的学习能力、业务问题分析和模型抽象能力；', '                                    ', '\xa0\xa0\xa0\xa0', '4', '、诚信谦逊、踏实进取、严谨负责，有较强的沟通能力、学习能力，有强烈的创新意识。', '\r\n                ', '\r\n                                        ', '职能类别：', '数据库工程师/管理员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/116637733.html?s=01&t=0,高级数据挖掘开发工程师,四川OPPO,1.2-2万/月,成都,无工作经验,本科,民营公司,通信/电信/网络设备,"['\r\n        ', '1、熟知公司业务数据和业务变化，构建业务数据模型；', '2、进行数据仓库模型的设计，应用模型的设计和分析，支持业务优化、监控和考核；', '3、维护业务数据模型，验证数据质量，保障数据完整和可靠；', '4、用系统化的方法分析业务变化趋势，为管理层决策和产品完善提供数据支持。', '任职要求：', '1、本科及以上学历，计算机、数学类相关专业；', '2、3年以上大规模数据研发、挖掘、分析相关工作经验；', '3、熟悉MySQL、Oracle、SQLServer或至少其中之一，熟悉SQL语言；', '4、突出的分析和归纳能力,熟悉数据仓库建模理论、模型设计方法和原则，实际参与过大型数据仓库建设，对BI后台技术有深入的了解；', '5、有零售行业相关工作经验者优先；', '6、了解数理统计、数据分析及挖掘，熟知常用算法，有运用机器学习算法建模的理论基础或实际经验者优先。', '7、有腾讯、阿里类似工作经验者优先', '\r\n                ', '\r\n                                        ', '职能类别：', '大数据开发/分析', '\r\n                                        ', '关键字：', '数据挖掘', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/changsha-yhq/115208833.html?s=01&t=0,大数据挖掘治理工程师,湖南云解析科技有限公司,0.8-1.5万/月,长沙-雨花区,无工作经验,招2人,民营公司,计算机软件,"['\r\n        ', '1.负责大数据平台的开发人工智能产品技术；', '2.对结构化和非结构化数据进行挖掘，发现其潜在关联与知识，指导业务发展；', '3.对流量数据进行建模学习，持续产品和技术的优化；；', '4.设计并开发分布式、快速、支持海量数据的数据挖掘平台、BI业务与决策支持平台等；', '任职资格:', '1.计算机、数学、统计等相关专业硕士及以上学历（博士优先）', '2、3年以上大规模数据分析、挖掘相关工作经验；', '3.熟悉Linux/Unix平台上的开发环境；', '4.熟悉C/C++、Java、Python、R、matlab等编程语言与工具（一项或多项）；', '5.熟悉聚类、分类、回归等机器学习算法。', '符合以下一项或多项者优先：', '1)熟悉推荐算法，广告匹配及关键词推荐等，有实际建模经验；', '2)熟悉自然语言处理，文本挖掘等，有实际建模经验或者开发过BI系统；', '3)熟悉Hadoop、Hive、Hbase、Pig等且有丰富实战经验；', '4)参加机器学习领域的知名比赛并获得过优秀成绩者优先', '\r\n                ', '\r\n                                        ', '职能类别：', '算法工程师', '\r\n                                        ', '关键字：', '大数据治理', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/wuhan-jhq/113544071.html?s=01&t=0,数据挖掘工程师,北京合力亿捷科技股份有限公司,1-2万/月,武汉-江汉区,3-4年经验,本科,民营公司,通信/电信/网络设备,"['\r\n        ', '岗位职责：', '1、充分理解运营商业务和用户数据，并把它们转化为价值输出；', '2、依据数据刻画用户，并进行分类分群，帮助进行相关的精准匹配；\xa0', '3、负责项目的需求调研、数据分析、商业分析和数据挖掘模型等；', '4、利用数据挖掘/统计学习的理论和方法分析定位客户当前面临的实际经营问题并帮助客户改进；', '5、负责项目中数据准备、模型建立、模型跟踪、模型优化、模型维护、部署和评估；等闭环流程，为营销、运营及决策提供分析支撑及技术支持；', '6、负责运营商大数据的整理、分析及提交数据报告，重点对用户行为数据进行分析和挖掘；', '任职要求：', '1、计算机、数学或统计学相关专业本科或以上学历，3年以上电信运营商数据挖掘、机器学习、建模和分析经验；', '2、优秀的逻辑思维能力，能够发现关键数据、关键问题，从海量数据中发现有价值的规律；', '3、优秀的文本挖掘能力和NLP能力，能够从海量的自然语言中捞取重要的信息，为业务赋能；', '4、善于分析业务、能将复杂的业务需求转化为数据/数学模型，对大数据处理和分析工作有热情；\xa0', '5、有自然语言处理、数据挖掘、机器学习、深度学习等相关项目经验，较强的算法基础和丰富的应用经验；', '6、良好的SQL语句和算法功底、掌握R、Python，Spark中任一种挖掘工具，对数据结构和算法设计（逻辑回归、决策树、xgboost、GBDT）有较为深刻的理解；\xa0', '7、1年以上独立带项目的经验，善于协调沟通，结果导向型；', '8、有主流大数据应用厂商任职经验、运营商大数据项目实施经验者优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '数据库工程师/管理员', '\r\n                                        ', '关键字：', '建模', '数据挖掘', 'Python', 'Spark', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
